iter	Passed	Remaining
0	132	26338
1	134	13273
2	135	8899
3	137	6740
4	139	5430
5	141	4569
6	143	3954
7	145	3495
8	148	3141
9	150	2858
10	154	2656
11	157	2467
12	160	2303
13	162	2165
14	165	2044
15	168	1932
16	171	1844
17	174	1762
18	177	1687
19	180	1623
20	183	1561
21	186	1507
22	189	1460
23	192	1412
24	195	1370
25	198	1329
26	201	1289
27	204	1255
28	207	1222
29	211	1196
30	214	1171
31	217	1142
32	221	1120
33	223	1092
34	227	1071
35	229	1047
36	233	1027
37	236	1007
38	238	984
39	241	966
40	244	949
41	248	933
42	251	917
43	254	902
44	258	889
45	261	875
46	264	860
47	268	849
48	272	838
49	275	827
50	278	814
51	281	801
52	284	790
53	289	782
54	292	770
55	295	760
56	299	750
57	302	741
58	306	732
59	309	721
60	311	710
61	315	701
62	318	692
63	321	682
64	324	674
65	327	665
66	330	655
67	332	644
68	334	634
69	337	625
70	339	617
71	342	609
72	345	601
73	348	593
74	351	585
75	353	577
76	356	568
77	358	560
78	360	551
79	362	544
80	364	536
81	366	527
82	368	519
83	370	511
84	372	504
85	374	496
86	376	489
87	378	481
88	379	473
89	381	466
90	383	459
91	385	452
92	387	445
93	389	439
94	391	432
95	394	426
96	395	420
97	397	413
98	398	406
99	400	400
100	402	394
101	403	388
102	405	382
103	407	376
104	408	369
105	410	363
106	411	357
107	413	352
108	415	346
109	417	341
110	419	336
111	421	330
112	423	325
113	425	320
114	427	315
115	428	310
116	429	304
117	430	299
118	431	293
119	432	288
120	433	283
121	434	277
122	435	272
123	436	267
124	438	262
125	439	258
126	440	253
127	442	248
128	443	244
129	444	239
130	445	234
131	447	230
132	448	225
133	449	221
134	450	216
135	451	212
136	453	208
137	454	204
138	455	199
139	456	195
140	457	191
141	458	187
142	460	183
143	461	179
144	462	175
145	464	171
146	465	167
147	466	163
148	467	160
149	468	156
150	470	152
151	471	148
152	472	145
153	473	141
154	474	137
155	475	134
156	476	130
157	478	127
158	479	123
159	480	120
160	481	116
161	483	113
162	484	109
163	485	106
164	486	103
165	487	99
166	488	96
167	489	93
168	491	90
169	492	86
170	494	83
171	495	80
172	497	77
173	498	74
174	499	71
175	500	68
176	501	65
177	503	62
178	504	59
179	505	56
180	506	53
181	507	50
182	508	47
183	509	44
184	510	41
185	511	38
186	513	35
187	514	32
188	515	30
189	516	27
190	517	24
191	519	21
192	520	18
193	522	16
194	523	13
195	524	10
196	525	8
197	526	5
198	527	2
199	528	0
